date,language,active_editors,new_editors,total_editors,new_articles,total_articles,page_views
2001/07/31,total,0,0,0,0,0,0
2001/07/31,ur,0,0,0,0,0,0
2001/08/31,as,0,0,0,0,0,0
2001/08/31,bn,0,0,0,0,0,0
2001/08/31,bh,0,0,0,0,0,0
2001/08/31,bpy,0,0,0,0,0,0
2001/08/31,gu,0,0,0,0,0,0
2001/08/31,hi,0,0,0,0,0,0
2001/08/31,kn,0,0,0,0,0,0
2001/08/31,ks,0,0,0,0,0,0
2001/08/31,ml,0,0,0,0,0,0
2001/08/31,mr,0,0,0,0,0,0
2001/08/31,ne,0,0,0,0,0,0
2001/08/31,new,0,0,0,0,0,0
2001/08/31,or,0,0,0,0,0,0
2001/08/31,pa,0,0,0,0,0,0
2001/08/31,pi,0,0,0,0,0,0
2001/08/31,sa,0,0,0,0,0,0
2001/08/31,sd,0,0,0,0,0,0
2001/08/31,ta,0,0,0,0,0,0
2001/08/31,te,0,0,0,0,0,0
2001/08/31,total,0,0,0,0,0,0
2001/08/31,ur,0,0,0,0,0,0
2001/09/30,as,0,0,0,0,0,0
2001/09/30,bn,0,0,0,0,0,0
2001/09/30,bh,0,0,0,0,0,0
2001/09/30,bpy,0,0,0,0,0,0
2001/09/30,gu,0,0,0,0,0,0
2001/09/30,hi,0,0,0,0,0,0
2001/09/30,kn,0,0,0,0,0,0
2001/09/30,ks,0,0,0,0,0,0
2001/09/30,ml,0,0,0,0,0,0
2001/09/30,mr,0,0,0,0,0,0
2001/09/30,ne,0,0,0,0,0,0
2001/09/30,new,0,0,0,0,0,0
2001/09/30,or,0,0,0,0,0,0
2001/09/30,pa,0,0,0,0,0,0
2001/09/30,pi,0,0,0,0,0,0
2001/09/30,sa,0,0,0,0,0,0
2001/09/30,sd,0,0,0,0,0,0
2001/09/30,ta,0,0,0,0,0,0
2001/09/30,te,0,0,0,0,0,0
2001/09/30,total,0,0,0,0,0,0
2001/09/30,ur,0,0,0,0,0,0
2001/10/31,as,0,0,0,0,0,0
2001/10/31,bn,0,0,0,0,0,0
2001/10/31,bh,0,0,0,0,0,0
2001/10/31,bpy,0,0,0,0,0,0
2001/10/31,gu,0,0,0,0,0,0
2001/10/31,hi,0,0,0,0,0,0
2001/10/31,kn,0,0,0,0,0,0
2001/10/31,ks,0,0,0,0,0,0
2001/10/31,ml,0,0,0,0,0,0
2001/10/31,mr,0,0,0,0,0,0
2001/10/31,ne,0,0,0,0,0,0
2001/10/31,new,0,0,0,0,0,0
2001/10/31,or,0,0,0,0,0,0
2001/10/31,pa,0,0,0,0,0,0
2001/10/31,pi,0,0,0,0,0,0
2001/10/31,sa,0,0,0,0,0,0
2001/10/31,sd,0,0,0,0,0,0
2001/10/31,ta,0,0,0,0,0,0
2001/10/31,te,0,0,0,0,0,0
2001/10/31,total,0,0,0,0,0,0
2001/10/31,ur,0,0,0,0,0,0
2001/11/30,as,0,0,0,0,0,0
2001/11/30,bn,0,0,0,0,0,0
2001/11/30,bh,0,0,0,0,0,0
2001/11/30,bpy,0,0,0,0,0,0
