date,language,value
2012/04/30,bpy,14.6
2012/05/31,bpy,14.7
2012/06/30,bpy,14.8
2012/07/31,bpy,15
2012/08/31,bpy,15.2
2012/09/30,bpy,15.3
2012/10/31,bpy,15.6
2012/11/30,bpy,15.7
2012/12/31,bpy,16.1
2008/01/31,gu,17.7
2008/02/29,gu,17.6
2008/03/31,gu,17.2
2008/04/30,gu,16.6
2008/05/31,gu,10
2008/06/30,gu,8.9
2008/07/31,gu,7.8
2008/08/31,gu,6.4
2008/09/30,gu,6.5
2008/10/31,gu,6.6
2008/11/30,gu,6.9
2008/12/31,gu,7.1
2009/01/31,gu,7.3
2009/02/28,gu,7.4
2009/03/31,gu,6.5
2009/04/30,gu,4.8
2009/05/31,gu,5
2009/06/30,gu,4.9
2009/07/31,gu,4.6
2009/08/31,gu,4.5
2009/09/30,gu,4.3
2009/10/31,gu,4.3
2009/11/30,gu,4.3
2009/12/31,gu,4.4
2010/01/31,gu,4.5
2010/02/28,gu,4.6
2010/03/31,gu,4.7
2010/04/30,gu,4.9
2010/05/31,gu,5
2010/06/30,gu,5.1
2010/07/31,gu,5.2
2010/08/31,gu,5.5
2010/09/30,gu,5.6
2010/10/31,gu,5.7
2010/11/30,gu,5.8
2010/12/31,gu,5.8
2011/01/31,gu,6
2011/02/28,gu,6
2011/03/31,gu,6.1
2011/04/30,gu,6.2
2011/05/31,gu,6.3
2011/06/30,gu,6.3
2011/07/31,gu,6.4
2011/08/31,gu,6.5
2011/09/30,gu,6.5
2011/10/31,gu,6.6
2011/11/30,gu,6.7
2011/12/31,gu,6.8
2012/01/31,gu,6.9
2012/02/29,gu,7
2012/03/31,gu,7.1
2012/04/30,gu,7.2
2012/05/31,gu,7.3
2012/06/30,gu,7.4
2012/07/31,gu,7.5
2012/08/31,gu,7.6
2012/09/30,gu,7.7
2012/10/31,gu,8.2
2012/11/30,gu,8.7
2012/12/31,gu,8.9
2008/01/31,hi,7.5
2008/02/29,hi,7.7
2008/03/31,hi,7.9
2008/04/30,hi,7.8
2008/05/31,hi,7.6
2008/06/30,hi,7.9
2008/07/31,hi,8.1
2008/08/31,hi,8.4
2008/09/30,hi,8.5
2008/10/31,hi,8.7
2008/11/30,hi,8.4
2008/12/31,hi,8.6
2009/01/31,hi,8.8
2009/02/28,hi,8.7
2009/03/31,hi,8.3
2009/04/30,hi,8.4
2009/05/31,hi,8.1
2009/06/30,hi,8.2
2009/07/31,hi,8.4
2009/08/31,hi,7.7
2009/09/30,hi,6.5
2009/10/31,hi,6.6
2009/11/30,hi,6.7
2009/12/31,hi,6.9
2010/01/31,hi,7
2010/02/28,hi,7.2
2010/03/31,hi,7.3
2010/04/30,hi,7.4
2010/05/31,hi,7.6
2010/06/30,hi,7.7
2010/07/31,hi,8.3
2010/08/31,hi,8.7
2010/09/30,hi,9.5
2010/10/31,hi,9.6
2010/11/30,hi,9.7
2010/12/31,hi,9.7
2011/01/31,hi,9.1
2011/02/28,hi,9.2
2011/03/31,hi,8.3
2011/04/30,hi,8.4
2011/05/31,hi,9.2
2011/06/30,hi,9.4
2011/07/31,hi,9.5
2011/08/31,hi,10
2011/09/30,hi,11.2
2011/10/31,hi,11.5
2011/11/30,hi,11.6
2011/12/31,hi,12.4
2012/01/31,hi,12.5
2012/02/29,hi,12.6
2012/03/31,hi,12.7
2012/04/30,hi,12.7
2012/05/31,hi,12.8
2012/06/30,hi,12.9
2012/07/31,hi,13
2012/08/31,hi,13.1
2012/09/30,hi,13.2
2012/10/31,hi,13.4
2012/11/30,hi,13.5
2012/12/31,hi,13.6
2008/01/31,kn,7.8
2008/02/29,kn,7.9
2008/03/31,kn,8.1
2008/04/30,kn,8.3
2008/05/31,kn,8.6
2008/06/30,kn,8.9
2008/07/31,kn,9.1
2008/08/31,kn,9.4
2008/09/30,kn,9.6
2008/10/31,kn,9.8
2008/11/30,kn,10
2008/12/31,kn,10.1
2009/01/31,kn,10.5
2009/02/28,kn,10.7
2009/03/31,kn,11
2009/04/30,kn,11.2
2009/05/31,kn,11.6
