date,language,value
2009/11/30,gu,25
2009/12/31,gu,21
2010/01/31,gu,21
2010/02/28,gu,18
2010/03/31,gu,27
2010/04/30,gu,17
2010/05/31,gu,15
2010/06/30,gu,14
2010/07/31,gu,15
2010/08/31,gu,16
2010/09/30,gu,15
2010/10/31,gu,14
2010/11/30,gu,13
2010/12/31,gu,13
2011/01/31,gu,13
2011/02/28,gu,13
2011/03/31,gu,13
2011/04/30,gu,13
2011/05/31,gu,14
2011/06/30,gu,12
2011/07/31,gu,13
2011/08/31,gu,7
2011/09/30,gu,11
2011/10/31,gu,9
2011/11/30,gu,7
2011/12/31,gu,4
2012/01/31,gu,4
2012/02/29,gu,1
2012/03/31,gu,1
2012/04/30,gu,1
2012/05/31,gu,1
2012/06/30,gu,3
2012/07/31,gu,1
2012/08/31,gu,1
2012/09/30,gu,1
2012/10/31,gu,1
2012/11/30,gu,4
2012/12/31,gu,2
2013/01/31,gu,3
2008/01/31,hi,23
2008/02/29,hi,21
2008/03/31,hi,20
2008/04/30,hi,36
2008/05/31,hi,57
2008/06/30,hi,12
2008/07/31,hi,13
2008/08/31,hi,13
2008/09/30,hi,14
2008/10/31,hi,22
2008/11/30,hi,58
2008/12/31,hi,18
2009/01/31,hi,13
2009/02/28,hi,48
2009/03/31,hi,90
2009/04/30,hi,38
2009/05/31,hi,108
2009/06/30,hi,21
2009/07/31,hi,38
2009/08/31,hi,180
2009/09/30,hi,376
2009/10/31,hi,19
2009/11/30,hi,26
2009/12/31,hi,16
2010/01/31,hi,19
2010/02/28,hi,17
2010/03/31,hi,15
2010/04/30,hi,14
2010/05/31,hi,15
2010/06/30,hi,18
2010/07/31,hi,13
2010/08/31,hi,18
2010/09/30,hi,18
2010/10/31,hi,19
2010/11/30,hi,15
2010/12/31,hi,15
2011/01/31,hi,303
2011/02/28,hi,15
2011/03/31,hi,352
2011/04/30,hi,219
2011/05/31,hi,17
2011/06/30,hi,70
2011/07/31,hi,13
2011/08/31,hi,22
2011/09/30,hi,11
2011/10/31,hi,7
2011/11/30,hi,6
2011/12/31,hi,14
2012/01/31,hi,17
2012/02/29,hi,15
2012/03/31,hi,15
2012/04/30,hi,13
2012/05/31,hi,9
2012/06/30,hi,10
2012/07/31,hi,10
2012/08/31,hi,9
2012/09/30,hi,10
2012/10/31,hi,11
2012/11/30,hi,15
2012/12/31,hi,9
2013/01/31,hi,8
2008/01/31,kn,4
2008/02/29,kn,4
2008/03/31,kn,4
2008/04/30,kn,3
2008/05/31,kn,3
2008/06/30,kn,3
2008/07/31,kn,5
2008/08/31,kn,2
2008/09/30,kn,4
2008/10/31,kn,3
2008/11/30,kn,3
2008/12/31,kn,3
2009/01/31,kn,2
2009/02/28,kn,2
2009/03/31,kn,2
2009/04/30,kn,3
2009/05/31,kn,2
2009/06/30,kn,4
2009/07/31,kn,5
2009/08/31,kn,5
2009/09/30,kn,8
2009/10/31,kn,8
2009/11/30,kn,6
2009/12/31,kn,5
2010/01/31,kn,4
2010/02/28,kn,6
2010/03/31,kn,5
2010/04/30,kn,5
2010/05/31,kn,7
2010/06/30,kn,8
2010/07/31,kn,7
2010/08/31,kn,7
2010/09/30,kn,7
